1,1.4387,1.3843
1,1.1462,1.9697
1,2.2996,1.8832
1,2.2065,1.9431
1,1.8652,1.6931
1,1.8306,1.6041
1,2.6859,2.6047
1,2.1626,2.1524
1,1.6892,1.0432
1,1.8511,2.0784
1,1.9622,1.6374
1,1.5205,1.6798
1,1.9269,1.7571
1,3.1002,2.8327
1,2.0285,2.2104
1,2.1242,1.7722
1,2.7099,2.6592
1,1.9096,1.9216
1,1.693,1.5556
1,2.1049,2.0436
1,2.4023,2.648
1,2.2388,2.4989
1,2.3339,1.9813
1,1.9224,1.7704
1,1.2566,1.8517
1,1.9541,1.8879
1,2.0981,2.5592
1,2.0635,1.5097
1,2.099,2.2706
1,1.5291,1.8046
1,1.7743,2.1802
1,1.799,2.0583
1,1.8251,2.2229
1,1.6764,1.4807
1,1.6163,2.3497
1,2.6169,2.5116
1,2.6571,2.7891
1,1.6982,1.5147
1,1.7889,2.3599
1,1.4095,1.6009
1,1.9025,1.3301
1,2.6416,2.4349
1,2.8255,2.1174
1,1.9491,1.3113
1,2.2767,2.1862
1,1.2124,1.662
1,2.6469,1.6107
1,2.6109,3.0363
1,0.96495,1.5867
1,1.7987,2.0648
1,2.4442,2.3599
1,1.1751,2.3559
1,1.8181,1.8065
1,1.6189,1.7568
1,2.3369,2.211
1,2.1828,2.1179
1,1.6578,1.7012
1,1.9744,2.0604
1,2.515,1.8005
1,1.7536,1.7851
1,1.6759,1.8632
1,2.4907,1.6953
1,2.1134,2.1618
1,1.5744,1.5476
1,1.2811,1.8033
1,1.9686,1.239
1,2.3635,2.4893
1,1.8669,1.6622
1,2.2343,1.9648
1,2.9558,2.6317
1,1.2589,1.591
1,1.2761,1.4004
1,2.6492,1.7503
1,2.0998,2.404
1,2.3408,1.5428
1,2.6869,2.3945
1,2.2067,2.01
1,1.4609,1.6854
1,1.6878,1.5804
1,2.5279,2.2917
1,1.2583,1.3076
1,1.9813,1.8334
1,2.3196,1.564
1,2.311,2.2549
1,1.7232,1.9714
1,2.1139,1.7281
1,2.0667,2.5265
1,1.5313,1.5615
1,0.85127,1.9439
1,2.0872,1.6023
1,1.6138,0.77908
1,2.5313,1.9369
1,1.5688,1.0103
1,2.0324,2.1702
1,2.2395,2.6335
1,2.241,2.0152
1,2.4988,2.2732
1,2.0257,1.8831
1,2.9611,3.0689
1,1.3827,2.316
1,3.0624,2.249
1,2.3879,2.7377
1,1.2671,1.4681
1,2.1926,2.1659
1,2.331,3.0189
1,1.6452,1.3717
1,1.1989,1.6516
1,2.2913,1.8785
1,1.1086,1.0467
1,1.7236,1.6051
1,3.2129,3.0455
1,1.7604,2.2587
1,2.0651,2.5241
1,2.6868,1.8289
1,1.8918,1.8653
1,1.8692,2.8471
1,2.3432,2.1666
1,1.7113,1.4496
1,1.5987,1.3593
1,1.9035,2.2437
1,2.8963,3.0418
1,3.233,2.551
1,1.395,1.8496
1,1.4174,1.213
1,2.0214,2.7347
1,2.2367,2.4191
1,1.9099,2.1666
1,2.2749,2.2472
